Timestamp,T_air,O2_air,O2_tree,Tree,Plug_Height,Log_name,Notes
4/29/2019 12:52,13.1,20.41,4.97,SH5,Low,LOG004,
4/29/2019 13:09,12.6,20.28,14.90,SH5,High,LOG005,
4/29/2019 13:23,13.9,19.95,11.81,SH4,Low,LOG006,Log stopped late
4/29/2019 13:38,14.9,20.13,1.47,SH4,High,LOG007,
4/29/2019 13:49,13.1,20.39,4.55,SH3,Low,LOG008,
4/29/2019 13:59,14.6,20.19,1.52,SH3,High,LOG009,
4/29/2019 14:12,14.0,20.29,3.00,SH2,Low,LOG010,
4/29/2019 14:40,14.1,20.02,12.54,SH2,High,LOG011,
4/29/2019 14:49,15.3,19.65,1.34,SH6,Low,LOG012,
4/29/2019 15:00,15.0,20.54,7.71,SH6,High,LOG013,
4/29/2019 15:14,14.3,20.40,3.46,SH1,Low,LOG014,
4/29/2019 15:24,15.2,20.12,2.18,SH1,High,LOG015,Only logged at the end of measurement
4/30/2019 10:13,19.5,20.89,9.76,S7,Low,LOG016,Logged both S7 one file on accident
4/30/2019 10:21,18.7,20.18,5.24,S7,High,LOG016,Logged both S7 one file on accident
4/30/2019 10:31,19.1,19.45,2.26,S8,Low,LOG017,
4/30/2019 10:42,19.2,20.07,5.83,S8,High,LOG018,
4/30/2019 10:51,20.2,19.68,0.34,S3,Low,LOG019,
4/30/2019 11:01,21.3,20.21,0.62,S2,Low,LOG020,
4/30/2019 11:18,28.6,20.32,3.12,S1,Low,LOG021,
4/30/2019 11:36,20.6,20.79,1.40,C3,Low,LOG022,
4/30/2019 11:48,22.2,20.07,3.27,C8,Low,LOG023,
4/30/2019 11:57,22.5,20.14,17.40,C8,High,LOG024,
4/30/2019 12:06,21.9,20.58,8.75,C2,Low,LOG025,
4/30/2019 12:19,21.6,20.15,3.40,C7,Low,LOG026,
4/30/2019 12:28,21.8,20.17,12.25,C7,High,LOG027,
4/30/2019 12:36,21.4,20.15,5.40,C1,Low,LOG028,
4/30/2019 13:15,23.0,20.84,1.95,F7,Low,LOG029,
4/30/2019 13:28,21.4,20.23,3.47,F7,High,LOG030,
4/30/2019 13:41,22.1,20.48,1.18,F8,Low,LOG031,
4/30/2019 13:54,22.5,20.43,6.77,F8,High,LOG032,
4/30/2019 14:07,22.5,20.32,2.66,F3,Low,LOG033,
4/30/2019 14:17,22.7,20.34,5.34,F1,Low,LOG034,
4/30/2019 14:28,22.9,20.35,20.78,F2,Low,LOG035,
