"Plot Title: MSLE"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20370967_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370967)","High Range, μS/cm (LGR S/N: 20370967_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370967)","Temp, °C (LGR S/N: 20370967_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370967)","Coupler Detached (LGR S/N: 20370967)","Coupler Attached (LGR S/N: 20370967)","Stopped (LGR S/N: 20370967)","End Of File (LGR S/N: 20370967)","Coupler Detached (LGR S/N: 20370967)","Coupler Attached (LGR S/N: 20370967)","Stopped (LGR S/N: 20370967)","End Of File (LGR S/N: 20370967)"
1,07/09/18 11:59:04 AM,82.1,106.9,20.94,,,,,,,,
2,07/09/18 11:59:20 AM,,,,Logged,,,,,,,
3,07/09/18 12:29:04 PM,5384.9,5476.5,20.39,,,,,,,,
4,07/09/18 12:59:04 PM,5322.4,5408.4,20.26,,,,,,,,
5,07/09/18 01:29:04 PM,5307.2,5391.6,20.20,,,,,,,,
6,07/09/18 01:59:04 PM,5297.9,5383.2,20.18,,,,,,,,
7,07/09/18 02:29:04 PM,5293.3,5378.0,20.15,,,,,,,,
8,07/09/18 02:59:04 PM,5289.3,5374.1,20.13,,,,,,,,
9,07/09/18 03:29:04 PM,5283.4,5370.3,20.12,,,,,,,,
10,07/09/18 03:59:04 PM,5279.4,5365.7,20.11,,,,,,,,
11,07/09/18 04:29:04 PM,5276.1,5361.9,20.10,,,,,,,,
12,07/09/18 04:59:04 PM,5275.4,5358.0,20.09,,,,,,,,
13,07/09/18 05:29:04 PM,5271.5,5355.4,20.08,,,,,,,,
14,07/09/18 05:59:04 PM,5269.5,5351.5,20.07,,,,,,,,
15,07/09/18 06:29:04 PM,5265.5,5350.2,20.05,,,,,,,,
16,07/09/18 06:59:04 PM,5265.5,5347.0,20.04,,,,,,,,
17,07/09/18 07:29:04 PM,5261.6,5344.4,20.04,,,,,,,,
18,07/09/18 07:59:04 PM,5264.2,5342.5,20.03,,,,,,,,
19,07/09/18 08:29:04 PM,5257.6,5339.2,20.02,,,,,,,,
20,07/09/18 08:59:04 PM,5257.6,5337.9,20.01,,,,,,,,
21,07/09/18 09:29:04 PM,5256.3,5335.4,20.01,,,,,,,,
22,07/09/18 09:59:04 PM,5253.7,5333.4,20.00,,,,,,,,
23,07/09/18 10:29:04 PM,5256.3,5332.8,19.98,,,,,,,,
24,07/09/18 10:59:04 PM,5253.0,5331.5,19.98,,,,,,,,
25,07/09/18 11:29:04 PM,5252.3,5330.8,19.97,,,,,,,,
26,07/09/18 11:59:04 PM,5252.3,5329.6,19.97,,,,,,,,
27,07/10/18 12:29:04 AM,5248.4,5328.9,19.97,,,,,,,,
28,07/10/18 12:59:04 AM,5255.0,5327.0,19.96,,,,,,,,
29,07/10/18 01:29:04 AM,5251.0,5328.9,19.96,,,,,,,,
30,07/10/18 01:59:04 AM,5251.0,5327.0,19.95,,,,,,,,
31,07/10/18 02:29:04 AM,5251.0,5328.3,19.95,,,,,,,,
32,07/10/18 02:59:04 AM,5256.3,5330.2,19.94,,,,,,,,
33,07/10/18 03:29:04 AM,5256.3,5330.8,19.94,,,,,,,,
